,city,date,fare,ride_id,driver_count,type
0,Lake Jonathanshire,2019-01-14,13.83,5739410000000.0,5,Urban
1,South Michelleport,2019-03-04,30.24,2343910000000.0,72,Urban
2,Port Samanthamouth,2019-02-24,33.44,2005070000000.0,57,Urban
3,Rodneyfort,2019-02-10,23.44,5149250000000.0,34,Urban
4,South Jack,2019-03-06,34.58,3908450000000.0,46,Urban
5,South Latoya,2019-03-11,9.52,1995000000000.0,10,Urban
6,New Paulville,2019-02-27,43.25,793208000000.0,44,Urban
7,Simpsonburgh,2019-04-26,35.98,111954000000.0,21,Urban
8,South Karenland,2019-01-08,35.09,7995620000000.0,4,Urban
9,North Jasmine,2019-03-09,42.81,5327640000000.0,33,Urban
10,New Kimberlyborough,2019-02-07,9.34,7992780000000.0,33,Urban
11,West Angela,2019-01-12,26.86,4820050000000.0,48,Urban
12,Rodneyfort,2019-03-02,44.26,2494060000000.0,34,Urban
13,West Angela,2019-01-10,12.74,2108720000000.0,48,Urban
14,Roberthaven,2019-05-04,25.66,1026200000000.0,47,Urban
15,North Jason,2019-03-28,9.19,7007020000000.0,6,Urban
16,Williamsview,2019-01-03,18.93,1979490000000.0,46,Urban
17,Leahton,2019-02-26,8.85,6966670000000.0,17,Urban
18,West Anthony,2019-03-06,10.02,9396760000000.0,70,Urban
19,New Kimberlyborough,2019-04-25,29.67,4823570000000.0,33,Urban
20,Roberthaven,2019-02-24,7.8,2180570000000.0,47,Urban
21,New Paulton,2019-05-01,8.28,8527100000000.0,44,Urban
22,West Patrickchester,2019-03-19,40.86,898889000000.0,25,Urban
23,Deanville,2019-04-25,41.52,6055930000000.0,49,Urban
24,West Josephberg,2019-02-19,36.39,3322130000000.0,45,Urban
25,West Samuelburgh,2019-05-03,41.12,7330840000000.0,73,Urban
26,West Heidi,2019-03-14,24.4,4908570000000.0,28,Urban
27,Loganberg,2019-04-01,8.23,678729000000.0,23,Urban
28,Huntermouth,2019-02-10,25.79,1880380000000.0,37,Urban
29,South Latoya,2019-01-11,27.41,8662300000000.0,10,Urban
30,New Paulville,2019-03-18,25.05,5031800000000.0,44,Urban
31,Grahamburgh,2019-01-15,40.69,307021000000.0,61,Urban
32,Port Frank,2019-02-02,41.47,6746610000000.0,23,Urban
33,East Kaylahaven,2019-02-28,25.96,3662520000000.0,65,Urban
34,Rodneyfort,2019-02-03,44.86,2325700000000.0,34,Urban
35,South Karenland,2019-02-12,36.01,4015930000000.0,4,Urban
36,West Robert,2019-02-15,12.28,1442500000000.0,39,Urban
37,North Markport,2019-02-18,38.09,925013000000.0,22,Urban
38,Williamsview,2019-03-12,8.35,1940440000000.0,46,Urban
39,Richardfort,2019-02-24,13.93,5628550000000.0,38,Urban
40,New Kimberlyborough,2019-03-14,27.9,6750800000000.0,33,Urban
41,Reynoldsfurt,2019-03-25,34.06,6604420000000.0,67,Urban
42,South Karenland,2019-05-08,41.33,5688920000000.0,4,Urban
43,Rodneyfort,2019-04-25,21.7,8534600000000.0,34,Urban
44,Justinberg,2019-04-23,14.65,9878230000000.0,39,Urban
45,West Josephberg,2019-03-05,12.91,102685000000.0,45,Urban
46,South Karenland,2019-03-03,37.3,4104000000000.0,4,Urban
47,Leahton,2019-05-05,17.05,5846590000000.0,17,Urban
48,Martinezhaven,2019-03-19,5.3,264338000000.0,25,Urban
49,North Jason,2019-03-03,28.02,2670550000000.0,6,Urban
50,Jerryton,2019-03-03,28.08,6003410000000.0,64,Urban
51,Lake Scottton,2019-02-18,25.02,3909340000000.0,58,Urban
52,South Evanton,2019-02-14,42.5,9953660000000.0,11,Urban
53,Rogerston,2019-05-08,32.69,1643410000000.0,25,Urban
54,West Samuelburgh,2019-05-02,38.77,2931690000000.0,73,Urban
55,West Ericstad,2019-04-24,7.31,4292480000000.0,25,Urban
56,New Paulville,2019-03-10,4.43,1213920000000.0,44,Urban
57,Hurleymouth,2019-05-04,21.44,4039660000000.0,36,Urban
58,West Samuelburgh,2019-03-03,25.17,1781750000000.0,73,Urban
59,Joneschester,2019-03-01,34.71,3343260000000.0,39,Urban
60,New Paulville,2019-04-03,32.7,9562560000000.0,44,Urban
61,Simpsonburgh,2019-01-19,15.83,233191000000.0,21,Urban
62,Port Angela,2019-04-17,16.34,7120530000000.0,67,Urban
63,West Ericstad,2019-04-04,28.52,6432850000000.0,25,Urban
64,New Kimberlyborough,2019-03-16,17.19,2770470000000.0,33,Urban
65,Joneschester,2019-01-30,36.78,1664030000000.0,39,Urban
66,North Markport,2019-04-26,44.37,1628420000000.0,22,Urban
67,Hurleymouth,2019-03-22,32.85,8449290000000.0,36,Urban
68,Barajasview,2019-01-15,19.52,8268110000000.0,26,Urban
69,Grahamburgh,2019-04-06,23.87,1468250000000.0,61,Urban
70,South Michelleport,2019-03-02,33.12,813844000000.0,72,Urban
71,Loganberg,2019-01-07,16.26,9045380000000.0,23,Urban
72,West Christopherberg,2019-03-18,12.64,1061090000000.0,32,Urban
